pollutant,model,R2_log,MAE_log,RMSE_log,R2_real,MAE_real,RMSE_real
Metal_A,environment_only,-0.034184672117297546,2.328741076450129,2.8214160451294346,-0.25633619004891905,1483.8659668380876,3141.907653571091
Metal_A,env_plus_catch,-0.018060121267403063,2.3181925843075106,2.8000941175822476,-0.25522119108100305,1482.510401699373,3140.2308033098952
Metal_A,full_pressures,-0.014609236701927509,2.2889302257768334,2.791981802806353,-0.25921242783488446,1480.4788511645852,3144.9332173440635
Metal_A,full_pressures_plus_censoring,0.1436660443144975,1.9766923445107607,2.544338662569957,-0.24865692297648573,1474.6283231110574,3133.1611916665306
Metal_B,environment_only,-0.00028567908689638435,0.6078604513656092,0.7454889927976351,-0.0901160769716852,1.6992357460920666,2.7800514924071473
Metal_B,env_plus_catch,-0.00028567908689638435,0.6078604513656092,0.7454889927976351,-0.0901160769716852,1.6992357460920666,2.7800514924071473
Metal_B,full_pressures,-0.00028567908689638435,0.6078604513656092,0.7454889927976351,-0.0901160769716852,1.6992357460920666,2.7800514924071473
Metal_B,full_pressures_plus_censoring,0.5167970267201181,0.40005126918035827,0.515014775127999,0.3347045110238298,1.3507973131125854,2.173016542586176
Metal_C,environment_only,-0.026102841666498566,2.207302033931454,2.5354389426557775,-0.2818612305538134,335.4797797469643,666.2040080302767
Metal_C,env_plus_catch,-0.01641307339985376,2.1952470674080686,2.524179033270067,-0.28227621012876414,335.1752764335461,666.3132316435571
Metal_C,full_pressures,-0.015053997565281118,2.2207715994484643,2.5227762202419655,-0.28002837739751335,335.6628658875175,665.7253833212632
Metal_C,full_pressures_plus_censoring,0.06311792773614996,2.111565167918748,2.432830266042352,-0.24108272701477831,334.548729740888,655.4984615827021
Metal_D,environment_only,-0.10185189646674411,0.7985179402285876,0.9997307744780077,-0.07933975424474078,187.38206485359896,327.78806529314545
Metal_D,env_plus_catch,-0.06400138664472163,0.792655155439368,0.9836405936831323,-0.06740601103051211,185.03714823926035,325.14846545940975
Metal_D,full_pressures,-0.06802983963443618,0.793632751163216,0.9834122862820734,-0.05698741135591159,184.611875151726,322.81349522781693
Metal_D,full_pressures_plus_censoring,-0.027752442349183348,0.7759800791417142,0.9599695151036833,-0.04864348446950839,183.35496327844876,321.1556029930616
Metal_E,environment_only,-0.49335539432437114,0.8611690883052109,1.0148298199950838,-0.6105823563672939,46.5937511771168,57.659705322868376
Metal_E,env_plus_catch,-0.15666651688449545,0.8077177340677034,0.953079438386441,-0.3521487968368808,43.369055219439616,53.8825525676343
Metal_E,full_pressures,-0.2235130955329848,0.8493015612761379,0.9553303765821297,-0.5197795085731518,45.530223204067376,57.312162829475426
Metal_E,full_pressures_plus_censoring,0.30616694113101733,0.5206327487815867,0.6558186257084025,-0.05001060762645486,36.184248972806685,47.238194588089
Metal_F,environment_only,-0.018432546688588892,0.29134886996972414,0.32842592227913253,-0.04337999474196188,0.48467338563254125,0.6111914630179737
Metal_F,env_plus_catch,-0.018432546688588892,0.29134886996972414,0.32842592227913253,-0.04337999474196188,0.48467338563254125,0.6111914630179737
Metal_F,full_pressures,-0.018432546688588892,0.29134886996972414,0.32842592227913253,-0.04337999474196188,0.48467338563254125,0.6111914630179737
Metal_F,full_pressures_plus_censoring,0.05736396997390103,0.2735171521070735,0.31313551840083453,0.02373261668411759,0.4555428948616219,0.5856325195278387
Metal_G,environment_only,-0.04761168786517907,1.2087969795154614,1.4179971055367675,-0.2319641980063568,53.55816207045886,92.04303676609679
Metal_G,env_plus_catch,-0.03241468913809657,1.2105283826423119,1.4091138072343046,-0.22473828673314594,53.60781975007666,91.7784199911742
Metal_G,full_pressures,-0.01406846962165582,1.2002467143291873,1.401341653098537,-0.2350260881878905,53.38483601775274,92.23648219067692
Metal_G,full_pressures_plus_censoring,0.16108236950439123,1.0854961573253166,1.289662133847354,-0.17251644182350842,52.25096324190579,90.53023038908394
Metal_H,environment_only,-0.1556392759866741,0.5619508837463908,0.6344904531438103,-0.17834713681554962,1.482068688736387,1.7278842447873994
Metal_H,env_plus_catch,-0.099639781358219,0.5492354266085588,0.6189935658503918,-0.13214557482448594,1.4451737754293263,1.6922993558295611
Metal_H,full_pressures,-0.06707715617682057,0.5344643679659176,0.6102587647640956,-0.020718680735142915,1.4030186794800723,1.605440080304506
Metal_H,full_pressures_plus_censoring,-0.06707715617682057,0.5344643679659176,0.6102587647640956,-0.020718680735142915,1.4030186794800723,1.605440080304506
Metal_I,environment_only,-9.754773849860701,0.3026399193197888,0.40556600272137755,-11.272412108843923,0.5993111286428598,1.0916238600545758
Metal_I,env_plus_catch,-4.420495671496369,0.2795177121885856,0.38048096804153847,-4.768052096572906,0.5705307733509786,1.0599187735336728
Metal_I,full_pressures,-5.339151683474818,0.30679938482688274,0.38274973985797944,-5.859565968928974,0.6041924827667502,1.0518364296982112
Metal_I,full_pressures_plus_censoring,-5.339151683474818,0.30679938482688274,0.38274973985797944,-5.859565968928974,0.6041924827667502,1.0518364296982112
Metal_J,environment_only,-0.08649796061175845,0.13961247975024435,0.15459458685084737,-0.1043616647468438,0.1772001314039994,0.2025685357355113
Metal_J,env_plus_catch,-0.08649796061175845,0.13961247975024435,0.15459458685084737,-0.1043616647468438,0.1772001314039994,0.2025685357355113
Metal_J,full_pressures,-0.07574672846055681,0.137539971901364,0.15360468967970461,-0.10246568151024804,0.17463131618802938,0.20234707067487587
Metal_J,full_pressures_plus_censoring,-0.07574672846055681,0.137539971901364,0.15360468967970461,-0.10246568151024804,0.17463131618802938,0.20234707067487587
Organic_A,environment_only,-0.13021737992492777,1.091619831303116,1.444853248222394,-0.07057255483817673,14.802916657307208,51.505901109614385
Organic_A,env_plus_catch,-0.09194997840275065,1.0577655018948289,1.4236010086199797,-0.07005364311719578,14.722830311479504,51.50172909695406
Organic_A,full_pressures,-0.04475069626879138,1.0887213504880768,1.3818712349913507,-0.06308413442681929,14.85715416254742,51.3087467514948
Organic_A,full_pressures_plus_censoring,0.03255370252408485,1.0408823717083924,1.335365227262619,-0.06004059415838734,14.736910331986433,51.237658964020795
Organic_B,environment_only,-0.02944733584687862,0.19641433253718094,0.2592253919577657,-0.011366828940258422,0.28134280429646286,0.4514982667903464
Organic_B,env_plus_catch,-0.02944733584687862,0.19641433253718094,0.2592253919577657,-0.011366828940258422,0.28134280429646286,0.4514982667903464
Organic_B,full_pressures,-0.02944733584687862,0.19641433253718094,0.2592253919577657,-0.011366828940258422,0.28134280429646286,0.4514982667903464
Organic_B,full_pressures_plus_censoring,0.287310850483449,0.16392183163388782,0.21192617530695412,0.2629721250775409,0.2387551705942768,0.3715948902599652
Organic_C,environment_only,-0.07615670397972485,0.5425147529773839,0.6728051004500284,-0.12037849443268134,1.2629286893658571,2.1065129888505822
Organic_C,env_plus_catch,-0.015995824443088957,0.5062061733879096,0.6524916247726191,-0.1172974077766236,1.2049828097642497,2.1033127365970445
Organic_C,full_pressures,0.0798279405794697,0.5151928025787699,0.627309278576621,0.00349819845003847,1.2111261317362876,2.006438975372602
Organic_C,full_pressures_plus_censoring,0.18777065939631318,0.47934369989578035,0.5832205499008974,0.10697555893592803,1.1395609502596133,1.9021583530395894
Organic_D,environment_only,-0.04210399279892383,0.8820259522723924,1.0080791453830482,-0.1934815980201147,5.878763336737631,9.483812545193993
Organic_D,env_plus_catch,-0.03432392039078935,0.8751910190293632,1.0044031777942353,-0.20201758486070198,5.84389114569448,9.518431149907437
Organic_D,full_pressures,-0.012480432700349486,0.8730334067730846,0.9965658149491666,-0.13917964504899602,5.834391394688438,9.346709848720632
Organic_D,full_pressures_plus_censoring,0.03772550894304687,0.8242749833525103,0.9727644160585349,-0.12967433119192018,5.522938755858917,9.33296010662472
