ID,Year,Gender,Latitude,Longitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Maturity_level,size,Tissue,pollutant,concentration,status,outlier,dta_km,dtfl_km,dtu_km,dtb_km,is_censored,Month,WaterTemp,Depth,SSH,Chlor_a_mg_m3,SqCatch_Kg,WaterTemp_lag1,SSH_lag1,Chlor_a_mg_m3_lag1,SqCatch_Kg_lag1,Industrial_Index_Argentina,Industrial_Index_Brazil,Industrial_Index_Uruguay,Agricultural_Index_Argentina,Agricultural_Index_Brazil,Agricultural_Index_Uruguay,Ind_ARG,Ind_BRA,Ind_URU,Industrial_Pressure,Agr_ARG,Agr_BRA,Agr_URU,Agricultural_Pressure,log_concentration
49_14_muscle,2021,1,46°55'S,60°51'W,5,181.0,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_A,14.51,Detected,no,453.44,508.16,1237.85,1760.54,0,5,,,,,,,,,,130.0794871794872,124.25435897435898,120.56974358974358,178.51002865329517,115.16207737887767,105.50526058233423,0.0006298769469496059,4.004300068126471e-05,7.855989367263174e-05,0.0007484798413035024,0.000864389568917022,3.7112864136137625e-05,6.874429526411095e-05,0.0009702467283172706,2.7414849771884473
49_14_muscle,2021,1,46°55'S,60°51'W,5,181.0,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_B,0.06,BLOD,no,453.44,508.16,1237.85,1760.54,1,5,,,,,,,,,,130.0794871794872,124.25435897435898,120.56974358974358,178.51002865329517,115.16207737887767,105.50526058233423,0.0006298769469496059,4.004300068126471e-05,7.855989367263174e-05,0.0007484798413035024,0.000864389568917022,3.7112864136137625e-05,6.874429526411095e-05,0.0009702467283172706,0.058268908123975775
49_14_muscle,2021,1,46°55'S,60°51'W,5,181.0,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_C,1.27,Detected,no,453.44,508.16,1237.85,1760.54,0,5,,,,,,,,,,130.0794871794872,124.25435897435898,120.56974358974358,178.51002865329517,115.16207737887767,105.50526058233423,0.0006298769469496059,4.004300068126471e-05,7.855989367263174e-05,0.0007484798413035024,0.000864389568917022,3.7112864136137625e-05,6.874429526411095e-05,0.0009702467283172706,0.8197798314933114
49_14_muscle,2021,1,46°55'S,60°51'W,5,181.0,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_D,32.49,Detected,no,453.44,508.16,1237.85,1760.54,0,5,,,,,,,,,,130.0794871794872,124.25435897435898,120.56974358974358,178.51002865329517,115.16207737887767,105.50526058233423,0.0006298769469496059,4.004300068126471e-05,7.855989367263174e-05,0.0007484798413035024,0.000864389568917022,3.7112864136137625e-05,6.874429526411095e-05,0.0009702467283172706,3.5112468868061133
49_14_muscle,2021,1,46°55'S,60°51'W,5,181.0,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_E,68.98,Detected,no,453.44,508.16,1237.85,1760.54,0,5,,,,,,,,,,130.0794871794872,124.25435897435898,120.56974358974358,178.51002865329517,115.16207737887767,105.50526058233423,0.0006298769469496059,4.004300068126471e-05,7.855989367263174e-05,0.0007484798413035024,0.000864389568917022,3.7112864136137625e-05,6.874429526411095e-05,0.0009702467283172706,4.248209486939542
49_14_muscle,2021,1,46°55'S,60°51'W,5,181.0,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_F,0.04,BLOQ,no,453.44,508.16,1237.85,1760.54,1,5,,,,,,,,,,130.0794871794872,124.25435897435898,120.56974358974358,178.51002865329517,115.16207737887767,105.50526058233423,0.0006298769469496059,4.004300068126471e-05,7.855989367263174e-05,0.0007484798413035024,0.000864389568917022,3.7112864136137625e-05,6.874429526411095e-05,0.0009702467283172706,0.039220713153281295
49_14_muscle,2021,1,46°55'S,60°51'W,5,181.0,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_G,7.67,Detected,no,453.44,508.16,1237.85,1760.54,0,5,,,,,,,,,,130.0794871794872,124.25435897435898,120.56974358974358,178.51002865329517,115.16207737887767,105.50526058233423,0.0006298769469496059,4.004300068126471e-05,7.855989367263174e-05,0.0007484798413035024,0.000864389568917022,3.7112864136137625e-05,6.874429526411095e-05,0.0009702467283172706,2.1598687907924505
49_14_muscle,2021,1,46°55'S,60°51'W,5,181.0,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_H,0.04,BLOQ,no,453.44,508.16,1237.85,1760.54,1,5,,,,,,,,,,130.0794871794872,124.25435897435898,120.56974358974358,178.51002865329517,115.16207737887767,105.50526058233423,0.0006298769469496059,4.004300068126471e-05,7.855989367263174e-05,0.0007484798413035024,0.000864389568917022,3.7112864136137625e-05,6.874429526411095e-05,0.0009702467283172706,0.039220713153281295
49_14_muscle,2021,1,46°55'S,60°51'W,5,181.0,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_I,0.01,BLOQ,no,453.44,508.16,1237.85,1760.54,1,5,,,,,,,,,,130.0794871794872,124.25435897435898,120.56974358974358,178.51002865329517,115.16207737887767,105.50526058233423,0.0006298769469496059,4.004300068126471e-05,7.855989367263174e-05,0.0007484798413035024,0.000864389568917022,3.7112864136137625e-05,6.874429526411095e-05,0.0009702467283172706,0.009950330853168083
49_14_muscle,2021,1,46°55'S,60°51'W,5,181.0,119.6,2,small (181 mm - 237.3 mm),muscle,Metal_J,0.41,Detected,no,453.44,508.16,1237.85,1760.54,0,5,,,,,,,,,,130.0794871794872,124.25435897435898,120.56974358974358,178.51002865329517,115.16207737887767,105.50526058233423,0.0006298769469496059,4.004300068126471e-05,7.855989367263174e-05,0.0007484798413035024,0.000864389568917022,3.7112864136137625e-05,6.874429526411095e-05,0.0009702467283172706,0.3435897043900769
